Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MFSD8	CLN7, MGC33302	ENSG00000164073	Major facilitator superfamily domain containing 8	4	127917805-127965995	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA044802	Approved		Supported	Nucleoplasm<br>Vesicles	Urothelial cancer:2.21e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 12.5	Mixed		
MGAT2	GNT-II	ENSG00000168282	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	14	49620795-49623481	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA043721, HPA056824	Approved		Supported	Golgi apparatus	Cervical cancer:3.22e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 45.0	Expressed in all		
MIB1	DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6	ENSG00000101752	Mindbomb E3 ubiquitin protein ligase 1	18	21704957-21870957	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019100, CAB037044	Approved		Approved	Nuclear membrane<br>Vesicles<br>Plasma membrane		Expressed in all	Expressed in all			thyroid gland: 24.2	Expressed in all		
MICU1	CALC, CBARA1, EFHA3, FLJ12684	ENSG00000107745	Mitochondrial calcium uptake 1	10	72367327-72626191	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA037479, HPA037480	Uncertain		Supported	Mitochondria	Renal cancer:4.66e-7 (favourable)	Expressed in all	Expressed in all			kidney: 107.8	Expressed in all		
MID1	FXY, OS, RNF59, TRIM18	ENSG00000101871	Midline 1	X	10445310-10833654	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA003715	Approved				Liver cancer:3.06e-4 (unfavourable)	Expressed in all	Mixed			seminal vesicle: 20.7	Cell line enhanced		A549: 168.3;AF22: 136.2
MID2	FXY2, MRX101, RNF60, TRIM1	ENSG00000080561	Midline 2	X	107825755-107927193	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level						Stomach cancer:3.73e-4 (unfavourable)	Expressed in all	Mixed			smooth muscle: 23.4	Cell line enhanced		HUVEC TERT2: 34.7;Karpas-707: 25.8
MINPP1	MIPP	ENSG00000107789	Multiple inositol-polyphosphate phosphatase 1	10	87504875-87553460	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA026859	Approved				Renal cancer:6.98e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 27.6	Mixed		
MIPEP	MIP	ENSG00000027001	Mitochondrial intermediate peptidase	13	23730189-23889419	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA030676, HPA031669, HPA031670	Approved		Enhanced	Mitochondria	Renal cancer:7.66e-12 (favourable)	Expressed in all	Expressed in all			fallopian tube: 27.4	Expressed in all		
MKRN3	D15S9, MGC88288, RNF63, ZFP127, ZNF127	ENSG00000179455	Makorin ring finger protein 3	15	23565678-23630075	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA029494	Uncertain		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Glioma:9.23e-4 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 5.9;placenta: 4.1;testis: 3.6	epididymis: 1.1	Cell line enhanced		K-562: 22.8
MLC1	KIAA0027, LVM, MLC, VL	ENSG00000100427	Megalencephalic leukoencephalopathy with subcortical cysts 1	22	50059391-50085902	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003040, HPA067533	Enhanced					Tissue enriched	Tissue enriched	8	cerebral cortex: 180.8	bone marrow: 23.0	Cell line enhanced		HL-60: 182.4;NB-4: 133.9;THP-1: 267.0;U-266/70: 101.9;U-266/84: 85.6
MLYCD	hMCD, MCD	ENSG00000103150	Malonyl-CoA decarboxylase	16	83899126-83927026	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA031625	Enhanced				Renal cancer:2.61e-7 (favourable)	Expressed in all	Mixed			heart muscle: 3.2	Mixed		
MMAB	cblB, CFAP23	ENSG00000139428	Methylmalonic aciduria (cobalamin deficiency) cblB type	12	109553737-109573874	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA039017	Approved		Approved	Mitochondria	Renal cancer:1.55e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 32.5	Expressed in all		
MOCOS	FLJ20733, HMCS, MOS	ENSG00000075643	Molybdenum cofactor sulfurase	18	36187519-36272157	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA039412, HPA047958	Uncertain		Supported	Mitochondria<br>Cytosol	Renal cancer:3.03e-12 (unfavourable), Pancreatic cancer:1.29e-4 (unfavourable), Lung cancer:3.55e-4 (unfavourable)	Mixed	Mixed			adrenal gland: 11.4	Cell line enhanced		hTERT-HME1: 38.4;SiHa: 58.4;SK-MEL-30: 30.1
MOCS1	MOCOD	ENSG00000124615	Molybdenum cofactor synthesis 1	6	39899578-39934551	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA045783, HPA058177, HPA075505	Uncertain		Approved	Plasma membrane<br>Cytosol	Cervical cancer:1.07e-5 (unfavourable), Pancreatic cancer:6.07e-5 (favourable)	Expressed in all	Mixed			placenta: 60.3	Cell line enhanced		CACO-2: 38.2
MOCS2	MOCO1	ENSG00000164172	Molybdenum cofactor synthesis 2	5	53095679-53110063	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA037679, HPA037680	Approved		Approved	Nucleus<br>Cytosol	Renal cancer:3.68e-6 (favourable)	Expressed in all	Expressed in all			kidney: 106.4	Expressed in all		
MOGS	CWH41, DER7, GCS1	ENSG00000115275	Mannosyl-oligosaccharide glucosidase	2	74461057-74465410	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011322, HPA011969	Approved		Enhanced	Endoplasmic reticulum	Renal cancer:2.79e-8 (unfavourable), Liver cancer:2.34e-6 (unfavourable), Colorectal cancer:5.33e-4 (unfavourable)	Expressed in all	Expressed in all			duodenum: 63.1	Expressed in all		
MPC1	BRP44L, CGI-129, dJ68L15.3	ENSG00000060762	Mitochondrial pyruvate carrier 1	6	166364919-166383013	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA045119, HPA055790	Enhanced		Enhanced	Mitochondria	Renal cancer:4.79e-11 (favourable), Lung cancer:1.29e-4 (favourable), Cervical cancer:1.45e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 432.9	Expressed in all		
MPI		ENSG00000178802	Mannose phosphate isomerase	15	74890005-74902219	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA007200	Approved		Approved	Plasma membrane<br>Cytosol	Head and neck cancer:2.39e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 52.3	Expressed in all		
MPO		ENSG00000005381	Myeloperoxidase	17	58269856-58280935	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000059, HPA021147, HPA061464	Enhanced		Supported	Nucleus<br>Vesicles		Tissue enhanced	Tissue enriched	82	bone marrow: 2499.6	salivary gland: 30.6	Group enriched	98	HL-60: 2786.8;NB-4: 2892.7
MPST	MST, TST2, TUM1	ENSG00000128309	Mercaptopyruvate sulfurtransferase	22	37019635-37029822	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001240	Enhanced		Approved	Mitochondria<br>Cytosol	Urothelial cancer:5.89e-4 (favourable)	Expressed in all	Mixed			duodenum: 108.8	Expressed in all		
MPV17	SYM1	ENSG00000115204	MPV17, mitochondrial inner membrane protein	2	27309492-27325680	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level						Liver cancer:6.99e-6 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 84.3	Expressed in all		
MSMO1	DESP4, ERG25, SC4MOL	ENSG00000052802	Methylsterol monooxygenase 1	4	165327623-165343160	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA056127	Approved				Cervical cancer:2.97e-4 (unfavourable), Renal cancer:9.21e-4 (favourable)	Expressed in all	Expressed in all			liver: 297.1	Expressed in all		
MST1R	CD136, CDw136, PTK8, RON	ENSG00000164078	Macrophage stimulating 1 receptor	3	49887002-49903873	CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA007657, HPA008180, CAB008972	Enhanced		Approved	Cytosol	Urothelial cancer:2.33e-5 (favourable)	Mixed	Tissue enhanced		skin: 69.4	stomach: 37.2	Cell line enhanced		CAPAN-2: 84.1;HaCaT: 46.9;HBEC3-KT: 41.5;hTCEpi: 57.4;RT4: 49.8
MT-CO1	COI, COX1, MTCO1	ENSG00000198804	Mitochondrially encoded cytochrome c oxidase I	MT	5904-7445	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016241, HPA069328	Enhanced		Supported	Mitochondria	Liver cancer:2.29e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 79421.5	Expressed in all		
MT-CO2	CO2, COX2, MTCO2	ENSG00000198712	Mitochondrially encoded cytochrome c oxidase II	MT	7586-8269	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB016243, HPA051505, HPA054758	Enhanced				Liver cancer:2.89e-4 (favourable), Pancreatic cancer:7.10e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 40900.1	Expressed in all		
MT-CO3	CO3, COIII, COX3, MTCO3	ENSG00000198938	Mitochondrially encoded cytochrome c oxidase III	MT	9207-9990	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042788	Approved		Approved	Nucleoplasm	Pancreatic cancer:1.04e-4 (favourable), Liver cancer:2.01e-4 (favourable)	Expressed in all	Expressed in all			kidney: 54081.3	Expressed in all		
MT-ND1	MTND1, NAD1, ND1	ENSG00000198888	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	MT	3307-4262	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	CAB033779	Approved				Pancreatic cancer:3.26e-4 (favourable), Breast cancer:3.63e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 23817.4	Expressed in all		
MT-ND2	MTND2, NAD2, ND2	ENSG00000198763	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	MT	4470-5511	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level							Expressed in all	Expressed in all			heart muscle: 24880.0	Expressed in all		
MT-ND3	MTND3, NAD3, ND3	ENSG00000198840	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	MT	10059-10404	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA063296	Enhanced		Approved	Cytosol	Liver cancer:4.63e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 30083.4	Expressed in all		
MT-ND4	LHON, MTND4, NAD4, ND4	ENSG00000198886	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	MT	10760-12137	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA053928	Approved				Ovarian cancer:1.76e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 36982.3	Expressed in all		
MT-ND4L	MTND4L, NAD4L, ND4L	ENSG00000212907	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	MT	10470-10766	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA075648			Supported	Mitochondria	Liver cancer:4.47e-4 (favourable)	Expressed in all	Expressed in all			kidney: 23320.0	Expressed in all		
MT-ND5	MTND5, NAD5, ND5	ENSG00000198786	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	MT	12337-14148	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level						Renal cancer:7.31e-5 (favourable)	Expressed in all	Expressed in all			heart muscle: 13037.2	Expressed in all		
MT-ND6	MTND6, NAD6, ND6	ENSG00000198695	Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	MT	14149-14673	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level						Renal cancer:8.91e-6 (favourable)	Expressed in all	Expressed in all			heart muscle: 22714.1	Expressed in all		
MTAP	c86fus, MSAP	ENSG00000099810	Methylthioadenosine phosphorylase	9	21802543-21937651	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA046915			Supported	Cytosol	Liver cancer:4.68e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 15.7	Mixed		
MTFMT	FMT1	ENSG00000103707	Mitochondrial methionyl-tRNA formyltransferase	15	65001512-65029639	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA040710	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:3.31e-8 (favourable)	Expressed in all	Mixed			smooth muscle: 2.7	Mixed		
MTHFD1	MTHFC, MTHFD	ENSG00000100714	Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	14	64388031-64463457	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000704, HPA001290, HPA015006, HPA050052	Approved		Enhanced	Cytosol	Renal cancer:5.93e-5 (favourable), Pancreatic cancer:6.96e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 198.5	Expressed in all		
MTHFR		ENSG00000177000	Methylenetetrahydrofolate reductase	1	11785723-11806920	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA063389			Approved	Cell Junctions	Head and neck cancer:3.97e-5 (favourable), Pancreatic cancer:4.81e-5 (favourable), Liver cancer:1.19e-4 (unfavourable), Renal cancer:2.12e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 64.9	Expressed in all		
MTM1		ENSG00000171100	Myotubularin 1	X	150568619-150673322	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA010008, HPA010665	Approved		Supported	Plasma membrane	Renal cancer:7.40e-7 (favourable)	Expressed in all	Mixed			parathyroid gland: 27.3	Expressed in all		
MTMR2	CMT4B, KIAA1073	ENSG00000087053	Myotubularin related protein 2	11	95832882-95925315	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA049831	Approved		Supported	Vesicles	Liver cancer:1.61e-8 (unfavourable), Pancreatic cancer:3.60e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 57.8	Expressed in all		
MTPAP	FLJ10486, mtPAP, PAPD1, SPAX4	ENSG00000107951	Mitochondrial poly(A) polymerase	10	30309801-30374448	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA038620, HPA058232	Approved		Supported	Mitochondria	Liver cancer:4.20e-6 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 22.7	Expressed in all		
MTRR	cblE	ENSG00000124275	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	5	7851186-7906025	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA038113	Supported		Approved	Nucleoplasm<br>Intermediate filaments<br>Cytosol	Liver cancer:6.60e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 20.5	Expressed in all		
MUSK		ENSG00000030304	Muscle associated receptor tyrosine kinase	9	110668771-110801620	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Not detected	Mixed			testis: 3.0	Group enriched	19	LHCN-M2: 20.0;RH-30: 23.3
MVD	MPD	ENSG00000167508	Mevalonate diphosphate decarboxylase	16	88651935-88663161	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA041404, HPA048250	Uncertain		Approved	Cell Junctions<br>Cytosol	Endometrial cancer:2.17e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 33.9	Expressed in all		
MVK	LRBP, MK	ENSG00000110921	Mevalonate kinase	12	109573255-109598117	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA016961	Approved					Expressed in all	Expressed in all			testis: 31.6	Expressed in all		
MYLK	MLCK, MLCK1, MYLK1, smMLCK	ENSG00000065534	Myosin light chain kinase	3	123610049-123884331	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB020789, HPA031677, HPA048055	Enhanced		Enhanced	Plasma membrane<br>Actin filaments	Renal cancer:2.04e-6 (unfavourable), Urothelial cancer:4.46e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 3002.5	Cell line enhanced		BJ: 144.8;BJ hTERT+: 209.1;fHDF/TERT166: 165.3;RPTEC TERT1: 207.7
MYLK2	KMLC, MLCK2, skMLCK	ENSG00000101306	Myosin light chain kinase 2	20	31819308-31834689	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA059704, HPA059890	Enhanced		Supported	Endoplasmic reticulum	Glioma:5.74e-4 (favourable)	Tissue enhanced	Tissue enriched	49	skeletal muscle: 253.1	esophagus: 5.1	Cell line enhanced		RH-30: 10.2;RPMI-8226: 6.2
MYO3A	DFNB30	ENSG00000095777	Myosin IIIA	10	25934267-26212527	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA048951, HPA051893	Approved		Supported	Plasma membrane<br>Actin filaments<br>Cytoplasmic bodies		Mixed	Tissue enriched	9	testis: 6.8	skin: 0.8	Cell line enhanced		CAPAN-2: 2.0;HEK93: 2.2;SCLC-21H: 2.3;U-2 OS: 3.7;U-698: 8.6
NAA10	ARD1, ARD1A, DXS707, TE2	ENSG00000102030	N(alpha)-acetyltransferase 10, NatA catalytic subunit	X	153929242-153935223	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB006269, HPA030711	Supported		Enhanced	Nucleoli<br>Cytosol	Renal cancer:3.29e-8 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 25.7	Expressed in all		
NADK2	C5orf33, FLJ30596, MNADK, NADKD1	ENSG00000152620	NAD kinase 2, mitochondrial	5	36192592-36242279	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA038366, HPA038367, HPA061492	Enhanced					Expressed in all	Expressed in all			liver: 173.0	Expressed in all		
NAGA	D22S674	ENSG00000198951	Alpha-N-acetylgalactosaminidase	22	42058354-42070842	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA000649	Enhanced					Expressed in all	Expressed in all			parathyroid gland: 63.7	Expressed in all		
NAGLU	NAG	ENSG00000108784	N-acetyl-alpha-glucosaminidase	17	42536172-42544449	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA038815	Supported	Approved			Renal cancer:2.58e-6 (favourable), Glioma:3.43e-4 (unfavourable), Endometrial cancer:4.17e-4 (favourable), Pancreatic cancer:6.90e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 47.5	Expressed in all		
NAGPA	APAA, UCE	ENSG00000103174	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	16	5024844-5034141	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA064055	Approved				Renal cancer:2.67e-5 (unfavourable), Liver cancer:4.67e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 9.6	Mixed		
NAGS	AGAS, ARGA, NAT7	ENSG00000161653	N-acetylglutamate synthase	17	44004546-44009063	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA027300			Supported	Mitochondria		Expressed in all	Tissue enhanced		duodenum: 14.8;small intestine: 13.6	liver: 5.0	Cell line enhanced		HHSteC: 4.0;TIME: 5.0;U-87 MG: 8.7
NALCN	bA430M15.1, CanIon, VGCNL1	ENSG00000102452	Sodium leak channel, non-selective	13	101053776-101416492	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA031889, HPA031890, HPA031958	Approved					Mixed	Tissue enhanced		cerebral cortex: 28.1	adrenal gland: 6.0	Cell line enhanced		HaCaT: 12.6;HHSteC: 12.3;TIME: 15.4;U-87 MG: 11.1
NANS	SAS	ENSG00000095380	N-acetylneuraminate synthase	9	98056739-98083075	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019223	Approved		Approved	Nucleoplasm	Endometrial cancer:1.71e-4 (favourable), Liver cancer:6.42e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 148.2	Expressed in all		
NARS2	DFNB94, FLJ23441, SLM5	ENSG00000137513	Asparaginyl-tRNA synthetase 2, mitochondrial (putative)	11	78435961-78574874	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA026793	Supported		Approved	Nucleoplasm<br>Mitochondria<br>Cytosol	Renal cancer:1.22e-6 (favourable), Ovarian cancer:1.39e-5 (favourable)	Expressed in all	Expressed in all			kidney: 19.8	Expressed in all		
NAT8L	FLJ37478, Hcml3	ENSG00000185818	N-acetyltransferase 8 like	4	2059512-2069089	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA040677			Supported	Mitochondria	Endometrial cancer:1.01e-5 (unfavourable)	Group enriched	Group enriched	7	adipose tissue: 48.6;cerebral cortex: 64.9;testis: 19.0	kidney: 6.7	Cell line enhanced		SCLC-21H: 32.4
NAXE	AIBP, APOA1BP, MGC119143, MGC119144, MGC119145, YJEFN1	ENSG00000163382	NAD(P)HX epimerase	1	156591762-156594299	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA043766, HPA048164	Enhanced		Enhanced	Nucleoplasm<br>Cytosol	Endometrial cancer:4.94e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 112.2	Expressed in all		
NCOA1	bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1	ENSG00000084676	Nuclear receptor coactivator 1	2	24491914-24770702	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB019402, HPA070213, HPA070520	Enhanced		Enhanced	Nucleoplasm<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 59.0	Expressed in all		
NDST1	HSST, NST1	ENSG00000070614	N-deacetylase and N-sulfotransferase 1	5	150485818-150558211	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA060532	Approved				Ovarian cancer:5.13e-4 (unfavourable), Endometrial cancer:6.99e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 59.7	Expressed in all		
NDUFS1	CI-75k	ENSG00000023228	NADH:ubiquinone oxidoreductase core subunit S1	2	206114817-206159603	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA064605, CAB070844	Approved		Supported	Mitochondria	Renal cancer:1.47e-12 (favourable), Breast cancer:3.85e-4 (unfavourable)	Expressed in all	Expressed in all			heart muscle: 71.1	Expressed in all		
NDUFS2	CI-49	ENSG00000158864	NADH:ubiquinone oxidoreductase core subunit S2	1	161197104-161214395	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA055140, HPA061953	Enhanced		Enhanced	Nucleoplasm<br>Mitochondria	Renal cancer:2.32e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 124.0	Expressed in all		
NDUFS7	CI-20, FLJ45860, FLJ46880, PSST	ENSG00000115286	NADH:ubiquinone oxidoreductase core subunit S7	19	1383527-1395589	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level						Renal cancer:4.90e-7 (favourable), Cervical cancer:2.03e-4 (favourable)	Expressed in all	Tissue enhanced		skeletal muscle: 96.7	duodenum: 40.7	Mixed		
NDUFS8	CI-23k, TYKY	ENSG00000110717	NADH:ubiquinone oxidoreductase core subunit S8	11	68030617-68036644	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA018524	Approved		Supported	Mitochondria	Renal cancer:3.27e-8 (favourable)	Expressed in all	Expressed in all			adrenal gland: 152.6	Expressed in all		
NDUFV1	CI-51K	ENSG00000167792	NADH:ubiquinone oxidoreductase core subunit V1	11	67606852-67612535	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045211, HPA075051	Approved		Supported	Mitochondria<br>Cytosol	Renal cancer:7.49e-10 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 222.1	Expressed in all		
NEDD4L	KIAA0439, NEDD4-2, RSP5	ENSG00000049759	Neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	18	58044367-58401540	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA024618, HPA064730	Approved		Approved	Focal adhesion sites	Renal cancer:6.55e-15 (favourable)	Expressed in all	Expressed in all			prostate: 71.5	Mixed		
NEK1	KIAA1901, NY-REN-55	ENSG00000137601	NIMA related kinase 1	4	169392857-169612629	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA020873, HPA040413	Approved		Approved	Nuclear membrane<br>Nucleoli	Renal cancer:1.42e-4 (favourable)	Expressed in all	Mixed			testis: 21.8	Expressed in all		
NEK2	NEK2A, NLK1, PPP1R111, RP67	ENSG00000117650	NIMA related kinase 2	1	211658657-211675630	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB017530, HPA064967	Enhanced		Supported	Nucleus<br>Centrosome	Liver cancer:9.47e-6 (unfavourable), Lung cancer:9.11e-4 (unfavourable)	Mixed	Tissue enriched	11	testis: 121.2	bone marrow: 11.2	Mixed		
NEK8	NPHP9	ENSG00000160602	NIMA related kinase 8	17	28725897-28743455	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA040661, HPA040679	Approved				Lung cancer:4.52e-4 (favourable), Colorectal cancer:6.98e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 9.7	Mixed		
